"Category","Total","PASS","FAIL","BLOCKED","NOT_TESTED","INCONCLUSIVE","EvidenceBacked"
"Offline Operation","10","2","2","0","5","1","5"
"Compatibility","4","0","0","4","0","0","4"
"Operational Readiness","2","1","1","0","0","0","2"
"Synchronization and Multi-user Safety","25","2","2","9","8","4","17"
"Data Integrity","24","4","5","0","14","1","10"
"UX","22","4","5","0","10","3","12"
"Accessibility","2","1","1","0","0","0","2"
"Performance and Capacity","32","0","1","1","26","4","6"
"Security and Permissions","23","3","12","3","2","3","21"
"Backup and Recovery","14","3","1","0","10","0","4"
"Reliability","7","0","1","0","5","1","2"
"Architecture","7","3","4","0","0","0","7"
"Maintainability","8","3","2","0","2","1","6"
