"Scope","RelativePath","Length","SHA256","LastWriteUtc","Classification"
"frozen-tag",".logs\codex-qa-progress.md","1254","a8156cc2a735af86f8fad708864c799ff8507cc2d007ff867020512ce7fc1f27","2026-07-25T21:53:48.0000000Z","Documentation"
"frozen-tag","backups\README.md","1481","2b787789fe8fe092f33080babef08cc4101e8da81341ebc0bed6b0ee18993aee","2026-07-25T21:53:48.0000000Z","Documentation"
"frozen-tag","CHANGELOG_HE.txt","7080","fc30066597cd69ebaa04a25cc9f8bdc8345857c6bb5f6e8370cada98e69cbdda","2026-07-25T21:53:48.0000000Z","Documentation"
"frozen-tag","core\README.md","4539","2117e8f6d25b82380a43966b6cc1b3604bbe18f160afe41d9e1bf3e6b181c67f","2026-07-25T21:53:48.0000000Z","Documentation"
"frozen-tag","data\README.md","1926","f10a0ab3009c45136392e1d5218195ce84c2cb3c22f9bee863d2afa6168f7dc1","2026-07-25T21:53:48.0000000Z","Documentation"
"frozen-tag","images\README.md","2164","a14a892c91f8ae8ce422942e77fa1934b067f7ff1c8ad883b72451a849a4f6df","2026-07-25T21:53:48.0000000Z","Documentation"
"frozen-tag","images\README_IMAGES.txt","955","c228ac0bcfbe732a9c029be31e8d447e5856a8215f735bc1e4390b986311286b","2026-07-25T21:53:48.0000000Z","Documentation"
"frozen-tag","manifest.json","436254","42af39cafc4e49ca81d5ba53fbee18f03886e8017d3f03e87956d4d441292add","2026-07-25T21:53:48.0000000Z","Documentation"
"frozen-tag","QUALITY_REPORT_HE.txt","3966","682c914059738e0d1cef1d4362f05bfeb2362a73af4375368b1840a453d49f6b","2026-07-25T21:53:48.0000000Z","Documentation"
"frozen-tag","README.md","16245","f11b6bc7e2454b87a46095cf08a9cc1a37aa2dd14818a90f0271608d23b096a9","2026-07-25T21:53:48.0000000Z","Documentation"
"frozen-tag","README_HE.txt","31512","b79d8c5ba3315a56f958b38c86fafd627eeb2f89c47491e0e53ea9efac48b084","2026-07-25T21:53:48.0000000Z","Documentation"
"frozen-tag","SHARED_DATA_PATH.txt","308","a6a130f634b5ce361858703fe1e57924c1fdbe6c0d58d066de90b6b4bc1566c9","2026-07-25T21:53:48.0000000Z","Documentation"
"frozen-tag","TEST_REPORT_HE.txt","6533","ca4074d6ba6bd8c0d0733de2bc0105a6c58f389f926eba74afceaeba937381ab","2026-07-25T21:53:48.0000000Z","Documentation"
"frozen-tag","VERSION.txt","295","4779de3747987bf849346e92a54556cdf6fd3f26ac44971dad131cf3c9eea27d","2026-07-25T21:53:48.0000000Z","Documentation"
"frozen-tag","גיבוי וורד - MechLex_Visual_Admin_Fork\app.js.docx","94041","111cd2aae552a1eff45fec3ef7885adbc87c7b9ccca22ba9900f6d3714c66e0a","2026-07-25T21:53:48.0000000Z","Documentation"
"frozen-tag","גיבוי וורד - MechLex_Visual_Admin_Fork\CHANGELOG_HE.txt.docx","38941","4077c82ac1e7ac827ae3c95d8c26b7f8e4652b06a8a079f930f5704ffad9102f","2026-07-25T21:53:48.0000000Z","Documentation"
"frozen-tag","גיבוי וורד - MechLex_Visual_Admin_Fork\core\boot.js.docx","37257","e84026a111d4306fdd3015a7d3232c71eec717c012293f6595d2514ad4e52ccf","2026-07-25T21:53:48.0000000Z","Documentation"
"frozen-tag","גיבוי וורד - MechLex_Visual_Admin_Fork\core\inline-editor.js.docx","39803","0e8a1841f6cf4e86455ed5b91a4ab45852e53ff189051b5084bd2623959fbf02","2026-07-25T21:53:48.0000000Z","Documentation"
