"Scope","RelativePath","Length","SHA256","LastWriteUtc","Classification"
"frozen-tag","images\catalog.js","74","011e1e60896d506ef33c1e80f88ef6be85f5fd7118bea43da872a3b617f294a8","2026-07-25T21:53:48.0000000Z","Image or image catalogue asset"
"frozen-tag","images\mechlex-icon.svg","612","03d594f48b12e80bb45f155e36b08192ee99ad7ede7e00b95d598aabb834eef9","2026-07-25T21:53:48.0000000Z","Image or image catalogue asset"
"frozen-tag","images\README.md","2164","a14a892c91f8ae8ce422942e77fa1934b067f7ff1c8ad883b72451a849a4f6df","2026-07-25T21:53:48.0000000Z","Image or image catalogue asset"
"frozen-tag","images\README_IMAGES.txt","955","c228ac0bcfbe732a9c029be31e8d447e5856a8215f735bc1e4390b986311286b","2026-07-25T21:53:48.0000000Z","Image or image catalogue asset"
"frozen-tag","qa\automation\node_modules\playwright-core\lib\server\chromium\appIcon.png","16565","6ba994f05c5cf18e22d9b6bef9898fbdec6ad4d4d77f5187d0609cb42d72d01e","2026-07-25T21:53:48.0000000Z","Image or image catalogue asset"
"frozen-tag","qa\automation\node_modules\playwright-core\lib\tools\dashboard\appIcon.png","18945","38037bcf18c7f9b950da2e1a2d8800d38fb27637ccda293d38368a3704b67f18","2026-07-25T21:53:48.0000000Z","Image or image catalogue asset"
"frozen-tag","qa\automation\node_modules\playwright-core\lib\vite\dashboard\assets\firefox-1bWoP6pv.svg","7488","3f3742d1e78c0db6c2d3531250f70c30675ee5310de32fa89befaf738c54efd0","2026-07-25T21:53:48.0000000Z","Image or image catalogue asset"
"frozen-tag","qa\automation\node_modules\playwright-core\lib\vite\dashboard\assets\firefox-beta-k3eOH_eK.svg","9280","7eab5ffdc25903ba33a7202f7fffa1999f119c7be45a39e9e703c118904f917a","2026-07-25T21:53:48.0000000Z","Image or image catalogue asset"
"frozen-tag","qa\automation\node_modules\playwright-core\lib\vite\dashboard\assets\firefox-nightly-Cp5nfeDT.svg","9143","f311c074b0fa999fcd6b73441301fb54ee87a48ff3bf05f318647928110476da","2026-07-25T21:53:48.0000000Z","Image or image catalogue asset"
"frozen-tag","qa\automation\node_modules\playwright-core\lib\vite\dashboard\assets\safari-na3_-uQk.svg","5254","80fd72ca5eb8545f1981277b31f4f92951d469d4efebd078e4086b676fe517dc","2026-07-25T21:53:48.0000000Z","Image or image catalogue asset"
"frozen-tag","qa\automation\node_modules\playwright-core\lib\vite\dashboard\playwright-logo.svg","5669","ca3cf76de45e74c20c5286e39d488ba36c4cd634120ed91e34de84eb1f51ca2f","2026-07-25T21:53:48.0000000Z","Image or image catalogue asset"
"frozen-tag","qa\automation\node_modules\playwright-core\lib\vite\recorder\playwright-logo.svg","5042","f6abe1cc5ea8fd051ecad7c8d607188249dbbdb38bee63d92040e9fe4aa69162","2026-07-25T21:53:48.0000000Z","Image or image catalogue asset"
"frozen-tag","qa\automation\node_modules\playwright-core\lib\vite\traceViewer\playwright-logo.svg","5042","f6abe1cc5ea8fd051ecad7c8d607188249dbbdb38bee63d92040e9fe4aa69162","2026-07-25T21:53:48.0000000Z","Image or image catalogue asset"
"frozen-tag","qa\evidence\screenshots\content-admin.png","578108","db4367d7a3790c83481776f794311e61880c6f664cf2b6daa8f749498f3af3ae","2026-07-25T21:53:48.0000000Z","Image or image catalogue asset"
"frozen-tag","qa\evidence\screenshots\desktop-home.png","595697","bc946061f2933603e965613de0d6975ae90c3d0c52914770320c4be00b86f48c","2026-07-25T21:53:48.0000000Z","Image or image catalogue asset"
"frozen-tag","qa\evidence\screenshots\desktop-term-modal.png","564175","b96e6142ffb423a7193e14431b125b156f3570cefe9c02d3952249690f0eb6c3","2026-07-25T21:53:48.0000000Z","Image or image catalogue asset"
"frozen-tag","qa\evidence\screenshots\mobile-390.png","650296","e2bf4c4b59954b7bff6793d7ea5ee58856818c7abbc288a952cb17f6a6c3ed9e","2026-07-25T21:53:48.0000000Z","Image or image catalogue asset"
"frozen-tag","qa\evidence\screenshots\restore-second-context.png","129675","d35411092fbbcd97fb8045791ec77aed2a0479e2f46e97337854df9363762f00","2026-07-25T21:53:48.0000000Z","Image or image catalogue asset"
"frozen-tag","qa\evidence\screenshots\security-direct-super-bypass.png","436566","3510e009c8c2e7fd3b2d3fc3ca7806553c31629f613e621108a957029c0de9fb","2026-07-25T21:53:48.0000000Z","Image or image catalogue asset"
"frozen-tag","qa\evidence\screenshots\super-admin.png","701409","cf78621648dcfba31214aa890aea8e32b33b5cb4fd6ef343e4dd155cc61d7f8a","2026-07-25T21:53:48.0000000Z","Image or image catalogue asset"
"frozen-tag","qa\evidence\screenshots\unsaved-change-closed.png","595769","c6983c98991cd3787a235b47b0a92b7784b6465e0c7206fa8b2d5166f6cc82a4","2026-07-25T21:53:48.0000000Z","Image or image catalogue asset"
"frozen-tag","qa\tests\fixtures\mechlex-qa-10mb.png","10485760","d8c479d6966b0948b5b7850e7828f94b5c2397c683b2101e53de9be214fc8e6a","2026-07-25T21:53:48.0000000Z","Image or image catalogue asset"
"frozen-tag","qa\tests\fixtures\mechlex-qa-15mb.png","15728640","4e0e8a3c5b5b7c41644b2553c40eb424260af883d980e6d10ee8247ec681f8d7","2026-07-25T21:53:48.0000000Z","Image or image catalogue asset"
"frozen-tag","qa\tests\fixtures\mechlex-qa-1mb.png","1048576","d446a8acf9214f5d3445bbb30b65e55cfe07a5aa046a722b9645a2e29c7d7c3d","2026-07-25T21:53:48.0000000Z","Image or image catalogue asset"
"frozen-tag","qa\tests\fixtures\mechlex-qa-3mb.png","3145728","185ff123ad54cf15e3c95a75256f7b6ffa56320cfc8ca3934f51f95f3354c964","2026-07-25T21:53:48.0000000Z","Image or image catalogue asset"
"frozen-tag","qa\tests\fixtures\mechlex-qa-5mb.png","5242880","6ddbff259c06b376242725c5fdec149476d0dc8c716fe1a5bd4719f04a977f29","2026-07-25T21:53:48.0000000Z","Image or image catalogue asset"
"frozen-tag","qa\tests\fixtures\mechlex-qa-8mb.png","8388608","5b12468fd6d53f159d26763651c205682e5df08f04274201ef8e4ac88e60d6b1","2026-07-25T21:53:48.0000000Z","Image or image catalogue asset"
"frozen-tag","qa\tests\fixtures\mechlex-qa-corrupt.png","29","895622e8ffffd1d4bc533e9736a9aa13315648407f739ad1cebdb693740a939c","2026-07-25T21:53:48.0000000Z","Image or image catalogue asset"
