"Path","Class","LoadedBy","Required"
"START_MECHLEX.bat","Startup runtime","User launch","Yes"
"core/start-local-server.ps1","Startup runtime","START_MECHLEX.bat","Yes"
"SHARED_DATA_PATH.txt","Deployment configuration","Local Helper","Yes for current deployment"
"index.html","Browser runtime","Local Helper static route","Yes"
"style.css","Browser runtime","index.html","Yes"
"data/mechlex-data.js","Embedded base dictionary","index.html","Yes; alternate/fallback risk"
"images/catalog.js","Image catalogue","index.html","Yes"
"images/mechlex-icon.svg","Static asset","index.html","Yes"
"app.js","Browser runtime","index.html","Yes"
"core/integrity.js","Browser runtime","index.html","Yes"
"core/persistence.js","Browser runtime","index.html","Yes"
"core/shared-sync.js","Browser runtime","index.html","Yes"
"core/inline-editor.js","Browser runtime","index.html","Yes"
"core/boot.js","Browser runtime","index.html","Yes"
"core/recovery-wizard.ps1","Operational recovery runtime","Operator separately","Conditional"
"<shared>/state.json","Authoritative mutable data","Local Helper","Yes"
"<shared>/state.previous.json","Rollback data","Recovery","Conditional"
"<shared>/history/*.json","Recovery history","Recovery","Conditional"
"images/<dynamic JPEG|PNG|WebP>","Dynamic content asset","Browser static route","Conditional"
