"Path","HandoffClass","HandoffRequired","RebuiltRuntimeRequired","Error"
".logs/codex-qa-progress.md","Documentation","Yes","No","Incorrect runtime-required label"
"backups/content-backup-initial.json","Data","Yes","No","Incorrect runtime-required label"
"backups/full-admin-backup-initial.json","Data","Yes","No","Incorrect runtime-required label"
"backups/README.md","Documentation","Yes","No","Incorrect runtime-required label"
"CHANGELOG_HE.txt","Other","Yes","No","Incorrect runtime-required label"
"core/README.md","Documentation","Yes","No","Incorrect runtime-required label"
"data/README.md","Documentation","Yes","No","Incorrect runtime-required label"
"generate_inventory.js","Production","Yes","No","Incorrect runtime-required label"
"images/README.md","Documentation","Yes","No","Incorrect runtime-required label"
"images/README_IMAGES.txt","Documentation","Yes","No","Incorrect runtime-required label"
"manifest.json","Data","Yes","No","Incorrect runtime-required label"
"qa/architecture/DATA_FLOW.md","QA","Yes","No","Incorrect runtime-required label"
"qa/architecture/PERSISTENCE_AND_LOCKING.md","QA","Yes","No","Incorrect runtime-required label"
"qa/architecture/ROLE_MODEL.md","QA","Yes","No","Incorrect runtime-required label"
"qa/architecture/SYSTEM_MAP.md","QA","Yes","No","Incorrect runtime-required label"
"qa/automation/accessibility.spec.js","QA","Yes","No","Incorrect runtime-required label"
"qa/automation/after-fill.png","QA","Yes","No","Incorrect runtime-required label"
"qa/automation/all_elements.json","QA","Yes","No","Incorrect runtime-required label"
"qa/automation/build_clean_hierarchy.js","QA","Yes","No","Incorrect runtime-required label"
"qa/automation/capture_initial.js","QA","Yes","No","Incorrect runtime-required label"
"qa/automation/capture_qa_screenshots.js","QA","Yes","No","Incorrect runtime-required label"
"qa/automation/check_empty_terms.js","QA","Yes","No","Incorrect runtime-required label"
"qa/automation/debug_mindmap.js","QA","Yes","No","Incorrect runtime-required label"
"qa/automation/find_all_elements.js","QA","Yes","No","Incorrect runtime-required label"
"qa/automation/find_mysterious_element.js","QA","Yes","No","Incorrect runtime-required label"
"qa/automation/fix_checksum.ps1","QA","Yes","No","Incorrect runtime-required label"
"qa/automation/generate_named_test_images.ps1","QA","Yes","No","Incorrect runtime-required label"
"qa/automation/generate_test_images.ps1","QA","Yes","No","Incorrect runtime-required label"
"qa/automation/package-lock.json","QA","Yes","No","Incorrect runtime-required label"
"qa/automation/package.json","QA","Yes","No","Incorrect runtime-required label"
"qa/automation/qa_hierarchy_demo_part1.js","QA","Yes","No","Incorrect runtime-required label"
"qa/automation/run-server-admin.ps1","QA","Yes","No","Incorrect runtime-required label"
