"Path","Class","Length","SHA256","SafeForGitHub"
".gitignore","Other","206","656e28c72731bc831e95023d5f6fc2dba6763928f6a4144a3575e81731ace85c","NOT ASSESSED IN H0"
"AGENTS.md","Documentation","5848","287ca7321ec7243b58674753dad095d671119d899fe0159f92a73a0449356b17","NOT ASSESSED IN H0"
"app.js","Runtime","237078","e522845cfa7bc1c2fcd9cf323ee3cbdf8470d820572a189420d3bf93835ec877","NOT ASSESSED IN H0"
"CHANGELOG_HE.txt","Documentation","7002","49643844e09a1444b84118ed121de8e83ecfb1fff25759451b263407a3ab6047","NOT ASSESSED IN H0"
"CODEX_MECHLEX_THREE_GOAL_MASTER.md","Documentation","18722","a46c58cc40e26eaa0f42190af7cbcabf186f3d1bbde9f8087a736d6dd69a6ab1","NOT ASSESSED IN H0"
"CODEX_THREE_GOALS.md","Documentation","3553","1a1e432071b5fe4b3860ca4d3df7d2baba83baae48c474c17906905c0522672a","NOT ASSESSED IN H0"
"generate_inventory.js","QA utility","2261","f68ff87cb966585e3fdbecaebb55b9146debebcd741571fce6123bdca9be6564","NOT ASSESSED IN H0"
"generate_md.js","QA utility","6766","becaad01d9110d2b064a59cec908a5aea6982651a6750268463f6fcd93fdf9a7","NOT ASSESSED IN H0"
"index.html","Runtime","53334","408aa20443440e473cb8512e11d1a1275086b2a2b5d4117164a9ed6f18c211f6","NOT ASSESSED IN H0"
"manifest.json","Other","436254","42af39cafc4e49ca81d5ba53fbee18f03886e8017d3f03e87956d4d441292add","NOT ASSESSED IN H0"
"QUALITY_REPORT_HE.txt","Documentation","3908","735a6818c9db3e5b1386b7539833fc8e411952cf894478ebb7f1e8ecdff94964","NOT ASSESSED IN H0"
"README.md","Documentation","15924","5d781da44dd15c2ef6b733d5800ee704596893ae1f810742f35e131c02337d99","NOT ASSESSED IN H0"
"README_HE.txt","Documentation","30943","8fd0e7a1333b5640dccd146998151622f65c44e72b0724410f2cbd73b20ce135","NOT ASSESSED IN H0"
"SHARED_DATA_PATH.txt","Runtime","301","d16e3c40e94092f0937ae1ec662e0ca7fd4f396e15bda0a391d15849fa1d1b5b","NOT ASSESSED IN H0"
"START_MECHLEX.bat","Runtime","167","ce27cb22d8028f1bf195e93c787863c24dc691d221603cf9602d18d1f23001bd","NOT ASSESSED IN H0"
"style.css","Runtime","166492","7e507af3adb81dec5c3bb6d8c63b70999bbc22ef8f7e85907bc2e64e3c5fcb38","NOT ASSESSED IN H0"
"test_50mb.ps1","QA utility","265","3f16910477641f05242f6f576ded419bb2b0b100ceea2fa4fd6fadd01ff8972a","NOT ASSESSED IN H0"
"test_post.ps1","QA utility","742","6cd8a3b64ef5f5a14a01d70f268278968756e095dbb56435dd69d53bed23cb91","NOT ASSESSED IN H0"
"TEST_REPORT_HE.txt","Documentation","6455","666301e826ec8778f605e76a4e9e470829a64e772bea8d9b5328b7abe77216e3","NOT ASSESSED IN H0"
"VERSION.txt","Documentation","288","3c30d65de401f6b310550da2ac8decbeaa873cb3ee00bc54ab81976dabab4841","NOT ASSESSED IN H0"
"הוראות_התקנה.txt","Documentation","1751","1d19e8dc5589d1b2fd875834249d19ca95615602fdbe0f71e2588ef0ffe71fe5","NOT ASSESSED IN H0"
".logs/codex-qa-progress.md","Documentation","1231","c1cd538ed94d25f71f30c0f18394f6ca0d2e3a1f5d5e82a98b3f5ca414ef7281","NOT ASSESSED IN H0"
"backups/content-backup-initial.json","Backup/distribution data","30371","545002c1c3225fe5eff3c6ca096c86f558cedf5ceee340e624ccba732fd3fa08","REQUIRES SENSITIVE-DATA REVIEW"
"backups/full-admin-backup-initial.json","Backup/distribution data","31080","66d0705ec215b28dc4986a79d0b421ef6a5c48d083aed602fa7eeecd498dc322","REQUIRES SENSITIVE-DATA REVIEW"
"backups/README.md","Documentation","1444","27d53be0568fd5ea70c24375d0f10f8d22639efc3a7f2b359b104d8a7a1e5f53","REQUIRES SENSITIVE-DATA REVIEW"
"codex-qa/GOAL_STATUS.md","QA","510","16ec4b9c2830df4fb4aa3f7b833395c465e935d6e4bc3f6b29301f8f8993eaab","REQUIRES SENSITIVE-DATA REVIEW"
"codex-qa/HANDOFF_VERIFICATION.md","QA","18721","65e8fbc21b87fa743bec33a53c897adf0735be130f2a6cb712485a62e8c64062","REQUIRES SENSITIVE-DATA REVIEW"
"codex-qa/QA_EXECUTION_PLAN.md","QA","24316","21be02862c0203a1feb96eabf66de3639141147bc19583f62d88046804f2e175","REQUIRES SENSITIVE-DATA REVIEW"
"codex-qa/reports/H0_CHECKPOINT_HE.md","QA","7100","f0e69c1cc5cd887a2ceb8f9c41d1367b3e8e6eba96faca67dcba89a8f659d60c","REQUIRES SENSITIVE-DATA REVIEW"
"codex-qa/scripts/collect-h0-static-evidence.ps1","QA","20944","b94e728e6792d3e5d2f8cfa0522547fabc1ae51162e19280c18e16d7dbe2a169","REQUIRES SENSITIVE-DATA REVIEW"
"codex-qa/scripts/complete-h0a-category-manifests.ps1","QA","3527","575dbec4e9d2ccf9179f97f5cc83d2b03d444efe5edf4715c565841f6349de26","REQUIRES SENSITIVE-DATA REVIEW"
"codex-qa/scripts/finalize-h0-evidence.ps1","QA","8623","679e30269ad8243144e337acb619cac5e9b7644241cd64943b728fdfe069dc83","REQUIRES SENSITIVE-DATA REVIEW"
"codex-qa/scripts/invoke-h0a.ps1","QA","9948","abdf8b43919ad981af790ed78a30c4c5d21002ea2b4f52f88ce8d7cc9be6f676","REQUIRES SENSITIVE-DATA REVIEW"
"codex-qa/scripts/real-shared-path-guard.ps1","QA","9105","910051d27a0b93e987d2227c4def8d254130d3892618fa2e82fd71bf0ad85211","REQUIRES SENSITIVE-DATA REVIEW"
"codex-qa/scripts/run-h0-localhost-browser-probe.ps1","QA","3341","d78c93c9ca21a6f191a7bc3ea5c38b3703f1cbaa26a5f92caf0b7d54c1163f8c","REQUIRES SENSITIVE-DATA REVIEW"
"codex-qa/scripts/run-h0-runtime-probes.ps1","QA","11466","af444d21cab13b56a1f9e9ec4fc7ed755fe37ba3fc567363ee3ab5df5754e84d","REQUIRES SENSITIVE-DATA REVIEW"
"codex-qa/scripts/test-guard-path-aliases.ps1","QA","2730","721fab3f16af4ef07422bd92a38c11eac10accff05c0d91ba7547fd82ace1210","REQUIRES SENSITIVE-DATA REVIEW"
"codex-qa/scripts/test-real-shared-path-guard.ps1","QA","4369","bb14497e42b7874073b7d7c1c432a93a2e7cc22f49bd82726f61560a86efc366","REQUIRES SENSITIVE-DATA REVIEW"
"codex-qa/scripts/verify-real-shared-unchanged.ps1","QA","2948","fce2d2e8808163507e656c7b0781c1b211d8bf4ac4639966c41c324281073c6c","REQUIRES SENSITIVE-DATA REVIEW"
"codex-qa/tests/preactivation/file-storage-probe.cjs","QA","6403","7233db5daabf3e9d1a08ae721da7ed63d3460e0562cc885cdabfa40671f8c8da","REQUIRES SENSITIVE-DATA REVIEW"
"codex-qa/tests/preactivation/localhost-authority-probe.cjs","QA","6504","b0246ff5d0fdc738ab8d1cf6ca616666dfb54698ece2c1862a804de654daf327","REQUIRES SENSITIVE-DATA REVIEW"
"core/boot.js","Runtime","1299","f97a25bae6d7a9af7d1ed1515690ad563a74aba47adadc3fbb78b3f996018ce5","NOT ASSESSED IN H0"
"core/inline-editor.js","Runtime","13240","a4adb092bc84839e4f16e49adde6ae3cb73a359187f17cd82b3fe4c4b0eb88e6","NOT ASSESSED IN H0"
"core/integrity.js","Runtime","28589","1d99046dd4eb5e8822d0d1af9c5d4414f5c7ec6ec58050273ad16488b37d5a86","NOT ASSESSED IN H0"
"core/persistence.js","Runtime","29058","a1da3674c588d15af846c5a32b84cd935421ee6719aee639095a481bf0a6e159","NOT ASSESSED IN H0"
"core/README.md","Documentation","4448","d8068cfb8ca727f3a561fe6caf5eec4fe1d0b450f93e3c71f671ad98876c0cd9","NOT ASSESSED IN H0"
"core/recovery-wizard.ps1","Runtime","5537","113b0a692dbc877bc92aba1203ef1d98832e050664ece46a6686ed6ccc1fa1ca","NOT ASSESSED IN H0"
"core/shared-sync.js","Runtime","12884","9cfa3729bdf959f2ceef5ddfe1e9c3e26a8bdfba21cd2bbc070b7ad0120b8b61","NOT ASSESSED IN H0"
"core/start-local-server.ps1","Runtime","22634","2329617ae979b0bc7853ba0bbf58a7d86f7f62aacfee927c9c47a9f96684e5b2","NOT ASSESSED IN H0"
"data/mechlex-data.js","Runtime","24221","81c81477745d8d54b74a5d56f24b8037948b59bbdf50b92d7aa79f3caf44d9d6","NOT ASSESSED IN H0"
"data/README.md","Documentation","1870","6e054ae3372fc9631dfeb9c806b48947236c00b9f405d62968a9fa672c7d654e","NOT ASSESSED IN H0"
"handoff/00_CODEX_START_HERE.md","Handoff","227","ef8c7f9c70543db29060388d05cfdcdbb152337720c47a6dc3374b4bb3c00479","NOT ASSESSED IN H0"
"handoff/03_ARCHITECTURE_TRUTH.md","Handoff","1536","5f54fe80b34909c48e396cbab55bfffc7ea27c25ffab133936339ef153d235aa","NOT ASSESSED IN H0"
"handoff/04_DATA_AND_STATE_PROVENANCE.md","Handoff","460","6e1d742c533a2eeedc2e08228016bd87bcd05eb066a85feb4c781d448b1d5c34","REQUIRES SENSITIVE-DATA REVIEW"
"handoff/05_CHANGE_REGISTER.md","Handoff","709","8a8c08a1f0772812e289bc3649b31ffcb89ee4d7558abbf4757af5e1f9fe021a","NOT ASSESSED IN H0"
"handoff/06_STORAGE_AND_BROWSER_STATE_MAP.md","Handoff","1455","6de5e8f35bcf160642eec292a4eeaad2664b6ac47f528e342391a7f35f1a9609","REQUIRES SENSITIVE-DATA REVIEW"
"handoff/08_TEST_EXECUTION_LEDGER.csv","Handoff","324","57516d20582a3735177497b1170d74aff137915ac2494ce14bd919cc8d0b951d","NOT ASSESSED IN H0"
"handoff/09_EVIDENCE_INDEX.md","Handoff","285","8a8985b931f366a0c7956b8056402fd53c8f23f2e3f598f534c101585db8f316","NOT ASSESSED IN H0"
"handoff/10_KNOWN_GAPS_AND_BLOCKERS.md","Handoff","350","3fc89d4a6c82fe13605d7fa5c8962e723385a46e35e7a2d1001d93f726e004c5","NOT ASSESSED IN H0"
