"Expected","Supplied","TrackedInTag","Impact"
"00_CODEX_START_HERE.md","True","False","Present as untracked worktree handoff"
"01_BASELINE_IDENTITY.md","False","False","Missing requested handoff component"
"02_EXECUTIVE_SUMMARY.md","False","False","Missing requested handoff component"
"03_ARCHITECTURE_TRUTH.md","True","False","Present as untracked worktree handoff"
"04_DATA_AND_STATE_PROVENANCE.md","True","False","Present as untracked worktree handoff"
"05_CHANGE_REGISTER.md","True","False","Present as untracked worktree handoff"
"06_STORAGE_AND_BROWSER_STATE_MAP.md","True","False","Present as untracked worktree handoff"
"07_ROLE_AND_PERMISSION_MODEL.md","False","False","Missing requested handoff component"
"08_TEST_EXECUTION_LEDGER.csv","True","False","Present as untracked worktree handoff"
"09_EVIDENCE_INDEX.md","True","False","Present as untracked worktree handoff"
"10_KNOWN_GAPS_AND_BLOCKERS.md","True","False","Present as untracked worktree handoff"
"11_ENVIRONMENT_MATRIX.md","True","False","Present as untracked worktree handoff"
"12_RELEASE_GATES.md","False","False","Missing requested handoff component"
"13_OPERATIONAL_RUNBOOK.md","True","False","Present as untracked worktree handoff"
"14_FILE_INVENTORY.csv","True","False","Present as untracked worktree handoff"
