"Path","Bytes","LastWriteTimeUtc","SHA256"
"app.js","235595","2026-07-24T21:44:02.8944269Z","5f562ca54cd00747621816cd715a7c2a96675f243fc6e1950d0e59a227680a39"
"backups\content-backup-initial.json","30371","2026-07-22T20:31:28.4765979Z","545002c1c3225fe5eff3c6ca096c86f558cedf5ceee340e624ccba732fd3fa08"
"backups\full-admin-backup-initial.json","31080","2026-07-22T20:31:28.4855972Z","66d0705ec215b28dc4986a79d0b421ef6a5c48d083aed602fa7eeecd498dc322"
"backups\README.md","1444","2026-07-23T20:49:53.4752871Z","27d53be0568fd5ea70c24375d0f10f8d22639efc3a7f2b359b104d8a7a1e5f53"
"CHANGELOG_HE.txt","7002","2026-07-23T20:50:59.0494628Z","49643844e09a1444b84118ed121de8e83ecfb1fff25759451b263407a3ab6047"
"core\boot.js","1299","2026-07-23T16:52:42.5408286Z","f97a25bae6d7a9af7d1ed1515690ad563a74aba47adadc3fbb78b3f996018ce5"
"core\inline-editor.js","13240","2026-07-23T20:37:32.6528151Z","a4adb092bc84839e4f16e49adde6ae3cb73a359187f17cd82b3fe4c4b0eb88e6"
"core\integrity.js","28589","2026-07-22T21:13:44.7929347Z","1d99046dd4eb5e8822d0d1af9c5d4414f5c7ec6ec58050273ad16488b37d5a86"
"core\persistence.js","29058","2026-07-23T16:52:42.5458270Z","a1da3674c588d15af846c5a32b84cd935421ee6719aee639095a481bf0a6e159"
"core\README.md","4448","2026-07-23T20:48:51.5373601Z","d8068cfb8ca727f3a561fe6caf5eec4fe1d0b450f93e3c71f671ad98876c0cd9"
"core\shared-sync.js","11385","2026-07-23T16:47:55.4518037Z","66de6f067ce3903f515febeb24ae49cc2cc8de4c5d735ecc7a50625af96e62d4"
"core\start-local-server.ps1","15801","2026-07-24T21:35:40.5381099Z","2dde293fef39005454c7a01c6bf0d02727db98e17cc448c563e09eabeaf7872c"
"data\mechlex-data.js","24221","2026-07-22T20:31:28.5245984Z","81c81477745d8d54b74a5d56f24b8037948b59bbdf50b92d7aa79f3caf44d9d6"
"data\README.md","1870","2026-07-23T20:49:13.6037825Z","6e054ae3372fc9631dfeb9c806b48947236c00b9f405d62968a9fa672c7d654e"
"images\catalog.js","74","2026-07-22T20:31:28.5395969Z","011e1e60896d506ef33c1e80f88ef6be85f5fd7118bea43da872a3b617f294a8"
"images\mechlex-icon.svg","600","2026-07-22T20:55:00.2588027Z","6dad7efebccceb58f809efbc16849d35d883f6aa0d1236c4b28dfdbad9952a33"
"images\README.md","2107","2026-07-23T20:49:36.8929098Z","38bb4ebe76f838c4afcb7a381114db9586db0367605f1ad7b70fd311dbb56ee6"
"images\README_IMAGES.txt","939","2026-07-22T21:17:40.7123926Z","4411aa3a3d84adf5716731480de88776576c8b1a63219e37c004cf4b56f5ffbf"
"index.html","53310","2026-07-24T13:14:38.9489171Z","46f5e6a8143d4f7258c6a3afe299a825e5d6cf4c9419c53b13846357395f2e1b"
"QUALITY_REPORT_HE.txt","3908","2026-07-23T17:14:29.2506152Z","735a6818c9db3e5b1386b7539833fc8e411952cf894478ebb7f1e8ecdff94964"
"README.md","15924","2026-07-24T21:47:19.3463889Z","5d781da44dd15c2ef6b733d5800ee704596893ae1f810742f35e131c02337d99"
"README_HE.txt","30943","2026-07-24T13:43:43.0649159Z","8fd0e7a1333b5640dccd146998151622f65c44e72b0724410f2cbd73b20ce135"
"SHARED_DATA_PATH.txt","301","2026-07-23T16:32:42.2551122Z","d16e3c40e94092f0937ae1ec662e0ca7fd4f396e15bda0a391d15849fa1d1b5b"
"START_MECHLEX.bat","167","2026-07-22T20:31:28.4150805Z","ce27cb22d8028f1bf195e93c787863c24dc691d221603cf9602d18d1f23001bd"
"style.css","166500","2026-07-24T13:30:04.3110831Z","df50a16b9ab35e8ec5a67d97bb3d2ac79a2040db0f0b2e2f18581c3b07d2a41e"
"TEST_REPORT_HE.txt","6455","2026-07-23T16:52:52.4109783Z","666301e826ec8778f605e76a4e9e470829a64e772bea8d9b5328b7abe77216e3"
"VERSION.txt","288","2026-07-23T16:52:42.5488154Z","3c30d65de401f6b310550da2ac8decbeaa873cb3ee00bc54ab81976dabab4841"
"גיבוי וורד - MechLex_Visual_Admin_Fork\app.js.docx","94041","2026-07-23T17:14:47.4272071Z","111cd2aae552a1eff45fec3ef7885adbc87c7b9ccca22ba9900f6d3714c66e0a"
"גיבוי וורד - MechLex_Visual_Admin_Fork\backups\content-backup-initial.json.docx","44325","2026-07-23T17:14:47.6339976Z","d190693705078867bfca3c1fb07bed74eff3e21d03f56784c606818d3f6db58e"
"גיבוי וורד - MechLex_Visual_Admin_Fork\backups\full-admin-backup-initial.json.docx","44632","2026-07-23T17:14:47.8922956Z","d32be88afb46d7fe98630e74348f06193d9b67ea99d32bf74085bb9c730d4bba"
"גיבוי וורד - MechLex_Visual_Admin_Fork\CHANGELOG_HE.txt.docx","38941","2026-07-23T17:14:48.0231150Z","4077c82ac1e7ac827ae3c95d8c26b7f8e4652b06a8a079f930f5704ffad9102f"
"גיבוי וורד - MechLex_Visual_Admin_Fork\core\boot.js.docx","37257","2026-07-23T17:14:48.1895240Z","e84026a111d4306fdd3015a7d3232c71eec717c012293f6595d2514ad4e52ccf"
"גיבוי וורד - MechLex_Visual_Admin_Fork\core\inline-editor.js.docx","39803","2026-07-23T17:14:48.4135865Z","0e8a1841f6cf4e86455ed5b91a4ab45852e53ff189051b5084bd2623959fbf02"
"גיבוי וורד - MechLex_Visual_Admin_Fork\core\integrity.js.docx","44249","2026-07-23T17:14:48.6367636Z","c187159c16c1727d8e9a441b0ccea2c9d790afa033f629f7ddae2425d16d4f00"
"גיבוי וורד - MechLex_Visual_Admin_Fork\core\persistence.js.docx","44919","2026-07-23T17:14:48.9085604Z","ffcd46709a88d722e081b3347e07e9442fab49bf36c7861a8da42f4338ad4815"
"גיבוי וורד - MechLex_Visual_Admin_Fork\core\shared-sync.js.docx","40144","2026-07-23T17:14:49.1457098Z","32a8be126de901026b7278df79d913ad1ce0e9458269c966eb4a913083345e3a"
"גיבוי וורד - MechLex_Visual_Admin_Fork\core\start-local-server.ps1.docx","41811","2026-07-23T17:14:49.3299066Z","8b227370ccc78b49b64d285447f4ab4bbf55fa080c38e99095ec2c55756f038d"
"גיבוי וורד - MechLex_Visual_Admin_Fork\data\mechlex-data.js.docx","43751","2026-07-23T17:14:49.5017663Z","c0430d3657869e91d53b34eb34c626f5520bc897a42e4c14bcee648f30757569"
"גיבוי וורד - MechLex_Visual_Admin_Fork\images\catalog.js.docx","36659","2026-07-23T17:14:49.5943589Z","206385f349b931ff7786dee58ef3ab9859ac62b25c7d9b2264da724a60040cb3"
"גיבוי וורד - MechLex_Visual_Admin_Fork\images\mechlex-icon.svg.docx","36929","2026-07-23T17:14:49.6698960Z","e60077aa8400467f9877e34f3e482c0d9b2429ae59b4df70b55f01f0c75e3890"
"גיבוי וורד - MechLex_Visual_Admin_Fork\images\README_IMAGES.txt.docx","37096","2026-07-23T17:14:49.7353218Z","0cd31ef8900764791d8522958fbef073b5d1d9c6fb2d1df6f99ff199d142bfa5"
"גיבוי וורד - MechLex_Visual_Admin_Fork\index.html.docx","48561","2026-07-23T17:14:50.0675631Z","2ad6cf8f79f9cd24c3bfdb47dc24044b3864c3a1af0d09321c779f4e599b31f1"
"גיבוי וורד - MechLex_Visual_Admin_Fork\MANIFEST_SHA256.txt.docx","38324","2026-07-23T17:14:50.1097920Z","bb552e87c5f63bc119edace18e476940397a51774fa7e2cd7221afddcf5b4cd1"
"גיבוי וורד - MechLex_Visual_Admin_Fork\package.json.docx","36891","2026-07-23T17:14:50.1950711Z","5fbf4ef2cbffd36a0b891d35ea029d403b59d3bcf1af6c348a2faff75d3f27b9"
